,Questions,Answers
0,How will you build the automatic/smart reply feature on an app like gmail or linkedIn?,"
Generating replies on the fly: Smart Reply can be built using sequence to sequence modeling. An incoming mail acts as the input to the model and the reply will be ..."
1,What order of Markov assumption does n-grams model make ?,"An n-grams model makes order n-1 Markov assumption. This assumption implies: given the previous n-1 words, probability of  word is independent of words prior to  words.
Suppose we have k words ..."
2,What would you care more about – precision or recall for spam filtering problem?,"
False positive means it was not a spam and we called it spam, false negative means it was a spam and we didn’t label it spam
Precision = (TP / TP ..."
3,How to measure the performance of the language model ?,"
While building language model, we try to estimate the probability of the sentence or a document. 
Given sequences(sentences or documents) like
      

Language model(bigram language model) will be ..."
4,Which is better to use while extracting features character n-grams or word n-grams? Why?,"Both have their uses. Character n-grams are great where character level information is important : Example:  spelling correction,  language identification, writer identification (i.e. fingerprinting), anomaly detection. While word n-grams are ..."
5,You are building a natural language search box for a website. How do you accommodate spelling errors?,"If you have a dictionary of words, edit distance is the simplest way of incorporating this. However, sometimes corrections based on context make sense. For instance, suppose I type “bed ..."
6,"[latexpage] Given a bigram language model, in what scenarios do we encounter zero probabilities? How Should we handle these situations ?","
Recall the Bi-gram model can be expressed as :

      



Scenario 1 – Out of vocabulary(OOV) words – such words may not be present during training and hence ..."
7,You want to find food related topics in twitter – how do you go about it ?,"One can use any of the topic models above to get topics. However, to direct the topics to contain food related information, specialized topic modeling algorithms are available. 
However, one ..."
8,"Given the following two sentences, how do you determine if Teddy is a person or not?  “Teddy bears are on sale!” and “Teddy Roosevelt was a great President!”","
This is an example of Named Entity Recognition(NER) problem. One can build a sequence model such as an LSTM to perform this task. However, as shown in both the sentences above, ..."
9,What is PMI ?,"PMI : Pointwise Mutual Information, is a measure of correlation between two events x and y.  

      
      
As you can see from above ..."
10,[latexpage] How many parameters are there for an hMM model?,"Let us calculate the number of parameters for bi-gram hMM given as
      
Let  be the total number of states  and  be the vocabulary size ..."
11,How do you deal with out of vocabulary words during run time when you build a language model ?,"Out of vocabulary words are words that are not in the training set, but appear in the test set, real data.  The main problem is that the model assigns a ..."
12,"Say you’ve generated a language model using Bag of Words (BoW) with 1-hot encoding , and your training set has lot of sentences with the word “good” but none with the word “great”. Suppose I see sentence “Have a great day” p(great)=0.0 using this language model. How can you solve this problem leveraging the fact that good and great are similar words?","
BoW with 1-hot encoding doesn’t capture the meaning of sentences, it only captures co-occurrence statistics. We need to build the language model using features which are representative of the meaning ..."
13,Where would you not want to remove  stop words ?,Stop words can be in most application removed  when you are doing bag of words features. Some exceptions can involve sentiment analysis where ‘not’ cannot be removed because it is ...
14,What will happen if you do not convert all characters to a single case (either lower or upper) during the pre-processing step of an NLP algorithm?,"When all words are not converted  to a single case, the vocabulary size will increase drastically as words like Up/up or Fast/fast or This/this will be treated differently which isn’t ..."
15,Explain latent dirichlet allocation – where is it typically used ?,Latent Dirichlet Allocation is a probabilistic model that models a document as a multinomial mixture of topics and the topics as a multinomial mixture of words. Each of these multinomials ...
16,Why are bigrams or any n-grams important in NLP(task like sentiment classification or spam detection)  or important enough to find them explicitly?,"
There are mainly 2 reasons

Some pair of words always occur together more often than they occur individually. Hence it is important to treat such co-occurring words as a single entity ..."
17,What is a language model ? How do you create one ? Why do you need one ?,"A language model is a probability distribution over sequences of words P(w_1,… ,w_m). It enables us to measure the relative likelihood of different phrases. Measuring the likelihood of a sequence ..."
18,"Suppose you are modeling text with a HMM, What is the complexity of finding most the probable sequence of tags or states from a sequence of text using brute force algorithm?","
Assume there are total  states and let  be the length of the largest sequence.
Think how we generate text using an hMM. We first have a state sequence and ..."
19,What is the significance of n-grams in a language model ?,"n-grams is a term used for a sequence of n consecutive words/tokens/grams.
In general, n-grams can either preserve the ordering or indicate what level of dependency is required in order to ..."
20,What are popular ways of dimensionality reduction in NLP tasks ? Do you think this is even important ?,"Common representation is bag of words that is very high dimensional given high vocab size. Commonly used ways for dimensionality reduction in NLP : 

TF-IDF : Term frequency, inverse document ..."
21,How will you build an auto suggestion feature for a messaging app or google search?,"
Auto Suggestion feature involves recommending the next word in a sentence or a phrase. For this, we need to build a language model on large enough corpus of “relevant” data. ..."
22,What is the difference between translation and transliteration,"Transliteration is the process of converting a word written in one language into another language, phoneme by phoneme. Enabling transliteration for your search engine allows your site visitors to type ..."
23,What is negative sampling when training the skip-gram model ?,Recap: Skip-Gram model is a popular algorithm to train word embeddings such as word2vec. It tries to represent each word in a large text as a lower dimensional vector in ...
24,How is long term dependency maintained while building a language model?,"


Language models can be built using the following popular methods –

Using n-gram language model

n-gram language models make assumption for the value of n. Larger the value of n, longer the ..."
25,What can you say about the most frequent and most rare words ? Why are they important or not important ?,"


Most frequent words are usually stop words like  
Rare words could be because of spelling mistakes or due to the word being sparsely used in the data set.
Usually ..."
26,What are knowledge graphs? When would you need a knowledge graph over say a database to store information?,A knowledge graph organizes real world knowledge as entities and relationships between entities. Creating a knowledge graph often involves scraping / ingesting unstructured data and creating structure out of it ...
27,You are given some documents and asked to find prevalent topics in the documents – how do you go about it ?,"This is typically called topic modeling. Topic modeling is a type of statistical modeling for discovering the abstract “topics” that occur in a collection of documents. For instance, two statements ..."
28,What are the different independence assumptions in hMM & Naive Bayes ?,"Both the hMM and Naive Bayes have conditional independence assumption.
hMM can be expressed by the equation below :
      
      
Second equation implies a conditional ..."
29,What is the difference between word2Vec and Glove ?,Both word2vec and glove enable us to represent a word in the form of a vector (often called embedding). They are the two most popular algorithms for word embeddings that bring ...
30,Why is smoothing applied in language model ?,"
Because there might be some n-grams in the test set but may not be present in the training set. For ex., If the training corpus is 
      
 and ..."
31,What are some knowledge graphs you know. What is different between these ?,"
DBPedia : Entities and relationships are automatically extracted from wikipedia. 
Wordnet: Lexical database of english language. Groups english words as synsets and provides various relationships between words in a synset. ..."
